id	pLDDT_Rank1
CVAE_10009	75.62
CVAE_10216	63.27
CVAE_10328	69.43
CVAE_10581	67.60
CVAE_10622	65.64
CVAE_10671	82.60
CVAE_10777	71.60
CVAE_1115	78.61
CVAE_11202	74.85
CVAE_11239	73.99
CVAE_11555	81.61
CVAE_11851	78.37
CVAE_12057	71.79
CVAE_12084	71.66
CVAE_12314	70.95
CVAE_12356	70.18
CVAE_12454	80.79
CVAE_12592	80.16
CVAE_12961	68.40
CVAE_1318	85.86
CVAE_1320	79.92
CVAE_13292	70.82
CVAE_13619	85.74
CVAE_13743	79.73
CVAE_13750	78.56
CVAE_13765	68.04
CVAE_14530	73.70
CVAE_14567	71.85
CVAE_14801	69.14
CVAE_15019	77.56
CVAE_15254	73.59
CVAE_15282	72.17
CVAE_154	79.66
CVAE_15414	76.30
CVAE_15535	82.77
CVAE_15546	79.30
CVAE_15588	78.98
CVAE_15623	75.29
CVAE_15744	76.03
CVAE_15800	74.33
CVAE_15811	77.37
CVAE_16016	77.59
CVAE_16213	77.06
CVAE_1697	72.05
CVAE_17036	75.10
CVAE_17222	77.18
CVAE_17231	72.07
CVAE_17284	81.54
CVAE_1768	79.35
CVAE_17695	72.41
CVAE_17916	61.69
CVAE_17978	67.25
CVAE_18027	71.21
CVAE_18211	90.49
CVAE_1822	74.85
CVAE_18242	62.07
CVAE_18490	78.38
CVAE_1853	80.40
CVAE_18545	69.56
CVAE_1865	73.52
CVAE_2163	72.52
CVAE_2232	67.79
CVAE_240	73.73
CVAE_2443	78.95
CVAE_2654	68.40
CVAE_2926	74.22
CVAE_3146	78.78
CVAE_3248	72.52
CVAE_3352	70.78
CVAE_3741	73.55
CVAE_3760	88.15
CVAE_394	74.86
CVAE_40	78.20
CVAE_4303	77.44
CVAE_5322	77.58
CVAE_5468	74.65
CVAE_5504	78.02
CVAE_5570	69.93
CVAE_5623	83.92
CVAE_6541	74.63
CVAE_66	94.04
CVAE_6713	72.00
CVAE_7049	69.94
CVAE_7129	75.12
CVAE_7146	74.10
CVAE_7236	71.81
CVAE_7502	88.60
CVAE_7571	81.76
CVAE_7867	65.09
CVAE_7905	70.61
CVAE_8818	81.34
CVAE_8862	91.05
CVAE_8956	73.42
CVAE_9004	67.93
CVAE_9014	73.88
CVAE_9032	74.12
CVAE_9659	75.00
CVAE_975	75.21
CVAE_9898	72.98
CVAE_9956	90.88
