id	pLDDT_Rank1
ProtGPT2_10634	60.40
ProtGPT2_10967	75.91
ProtGPT2_11130	68.70
ProtGPT2_1143	77.71
ProtGPT2_11447	66.87
ProtGPT2_11557	70.43
ProtGPT2_11753	77.38
ProtGPT2_12079	66.30
ProtGPT2_12093	70.69
ProtGPT2_12251	83.46
ProtGPT2_1239	57.11
ProtGPT2_12421	69.63
ProtGPT2_12455	69.20
ProtGPT2_12744	77.40
ProtGPT2_12818	64.35
ProtGPT2_12829	83.45
ProtGPT2_13368	56.16
ProtGPT2_13462	77.86
ProtGPT2_13572	81.31
ProtGPT2_13758	80.51
ProtGPT2_13993	63.55
ProtGPT2_14033	69.92
ProtGPT2_14101	74.90
ProtGPT2_14347	71.06
ProtGPT2_1450	68.34
ProtGPT2_14759	62.72
ProtGPT2_14828	72.88
ProtGPT2_15015	71.61
ProtGPT2_15136	63.28
ProtGPT2_15179	66.26
ProtGPT2_15532	51.31
ProtGPT2_15693	82.22
ProtGPT2_15866	74.78
ProtGPT2_16371	71.40
ProtGPT2_16772	78.64
ProtGPT2_16816	64.69
ProtGPT2_17005	73.83
ProtGPT2_17126	65.54
ProtGPT2_17159	64.31
ProtGPT2_17289	79.13
ProtGPT2_17634	76.56
ProtGPT2_1776	62.43
ProtGPT2_1795	63.23
ProtGPT2_1889	73.85
ProtGPT2_2177	52.65
ProtGPT2_249	73.81
ProtGPT2_2657	58.62
ProtGPT2_275	76.16
ProtGPT2_2798	74.76
ProtGPT2_3085	67.48
ProtGPT2_3111	73.93
ProtGPT2_3687	70.95
ProtGPT2_4085	73.32
ProtGPT2_4124	74.23
ProtGPT2_4335	69.27
ProtGPT2_437	69.07
ProtGPT2_4482	79.78
ProtGPT2_4673	72.13
ProtGPT2_4762	65.81
ProtGPT2_4776	65.33
ProtGPT2_4859	73.06
ProtGPT2_4920	69.57
ProtGPT2_5645	74.94
ProtGPT2_5735	81.43
ProtGPT2_591	75.88
ProtGPT2_6201	84.76
ProtGPT2_6380	65.57
ProtGPT2_6511	55.00
ProtGPT2_6577	81.82
ProtGPT2_6678	68.83
ProtGPT2_6742	72.69
ProtGPT2_6883	63.84
ProtGPT2_6952	76.88
ProtGPT2_7045	78.76
ProtGPT2_7067	64.78
ProtGPT2_7326	61.84
ProtGPT2_7352	76.46
ProtGPT2_7379	83.23
ProtGPT2_7464	54.84
ProtGPT2_7815	66.99
ProtGPT2_7967	70.64
ProtGPT2_8003	58.74
ProtGPT2_806	56.08
ProtGPT2_8169	72.93
ProtGPT2_821	59.55
ProtGPT2_8238	65.26
ProtGPT2_8603	59.07
ProtGPT2_8679	72.81
ProtGPT2_8743	53.15
ProtGPT2_89	78.00
ProtGPT2_8943	63.83
ProtGPT2_8956	64.14
ProtGPT2_909	74.43
ProtGPT2_9214	64.07
ProtGPT2_9326	65.53
ProtGPT2_933	65.07
ProtGPT2_9546	85.36
ProtGPT2_9648	66.24
ProtGPT2_9752	78.14
ProtGPT2_9775	76.93
