id	pLDDT_Rank1
CVAE_1006	73.70
CVAE_10455	78.93
CVAE_10477	73.67
CVAE_1053	76.08
CVAE_10730	80.38
CVAE_10760	70.11
CVAE_11133	77.02
CVAE_11704	78.40
CVAE_11831	76.54
CVAE_11864	75.74
CVAE_11962	70.79
CVAE_12052	70.57
CVAE_12169	59.78
CVAE_12220	84.48
CVAE_12277	76.09
CVAE_12439	75.75
CVAE_12446	86.75
CVAE_12649	72.26
CVAE_12659	72.61
CVAE_12836	79.04
CVAE_12873	81.29
CVAE_13017	86.15
CVAE_13236	77.73
CVAE_13469	76.52
CVAE_13997	73.90
CVAE_14496	71.03
CVAE_14773	73.99
CVAE_14828	73.02
CVAE_15125	83.84
CVAE_15166	70.40
CVAE_15271	81.46
CVAE_15286	73.75
CVAE_15366	79.77
CVAE_1570	72.32
CVAE_1613	75.15
CVAE_16249	77.29
CVAE_16280	67.84
CVAE_16568	80.34
CVAE_1659	79.35
CVAE_16596	69.18
CVAE_17057	70.35
CVAE_17115	71.76
CVAE_17197	75.01
CVAE_17245	68.91
CVAE_17261	76.80
CVAE_18057	72.10
CVAE_1811	64.17
CVAE_18148	76.60
CVAE_18290	73.22
CVAE_1884	74.20
CVAE_1912	78.61
CVAE_1946	62.88
CVAE_2014	64.74
CVAE_2083	68.43
CVAE_2101	76.50
CVAE_2212	81.53
CVAE_2493	71.29
CVAE_2602	92.52
CVAE_2746	80.38
CVAE_283	75.88
CVAE_3006	76.49
CVAE_3220	78.05
CVAE_3510	87.43
CVAE_3743	73.59
CVAE_3800	74.77
CVAE_3872	65.46
CVAE_4367	72.13
CVAE_440	73.83
CVAE_5151	73.06
CVAE_525	70.50
CVAE_5292	78.00
CVAE_5316	74.08
CVAE_5452	70.39
CVAE_5459	72.46
CVAE_5595	71.83
CVAE_5731	78.51
CVAE_5735	75.97
CVAE_5743	87.64
CVAE_5768	86.35
CVAE_6002	85.81
CVAE_6049	83.14
CVAE_6186	78.50
CVAE_6354	77.61
CVAE_6364	74.73
CVAE_6601	74.37
CVAE_6671	73.18
CVAE_6836	67.95
CVAE_7123	83.11
CVAE_7233	82.22
CVAE_7684	70.15
CVAE_8110	78.54
CVAE_8113	74.45
CVAE_8275	78.87
CVAE_8392	72.66
CVAE_8434	70.12
CVAE_8514	85.09
CVAE_9015	85.53
CVAE_9345	71.98
CVAE_9707	70.27
CVAE_9855	89.10
