id	pLDDT_Rank1
CVAE_10005	79.27
CVAE_10072	76.64
CVAE_1046	81.84
CVAE_10465	70.17
CVAE_10497	78.72
CVAE_10661	76.93
CVAE_10802	70.21
CVAE_11491	73.58
CVAE_11521	72.29
CVAE_11732	80.72
CVAE_11764	72.90
CVAE_12346	72.78
CVAE_12482	79.13
CVAE_12903	66.41
CVAE_13013	67.14
CVAE_13128	70.63
CVAE_13180	78.34
CVAE_13430	87.81
CVAE_13589	77.68
CVAE_13704	68.70
CVAE_13740	73.04
CVAE_13773	79.42
CVAE_13855	80.76
CVAE_13928	72.49
CVAE_14045	68.78
CVAE_14251	69.58
CVAE_14696	74.64
CVAE_14734	75.22
CVAE_1491	77.35
CVAE_15124	76.27
CVAE_1532	78.04
CVAE_15609	78.76
CVAE_15817	69.79
CVAE_16076	73.47
CVAE_1653	72.77
CVAE_16683	77.16
CVAE_16820	77.22
CVAE_16826	82.26
CVAE_16868	80.80
CVAE_16907	90.63
CVAE_17016	76.47
CVAE_17047	83.45
CVAE_17094	76.54
CVAE_17303	77.12
CVAE_17634	74.74
CVAE_1813	80.41
CVAE_1829	77.54
CVAE_18430	77.54
CVAE_18587	62.42
CVAE_1945	73.59
CVAE_2197	83.63
CVAE_2320	71.66
CVAE_2414	73.06
CVAE_2503	75.25
CVAE_2890	84.20
CVAE_3027	68.36
CVAE_3204	70.76
CVAE_3254	67.99
CVAE_3447	66.53
CVAE_3469	73.65
CVAE_3508	84.25
CVAE_3826	75.17
CVAE_4226	73.57
CVAE_4688	74.05
CVAE_4813	68.28
CVAE_5045	76.01
CVAE_526	78.74
CVAE_5596	69.87
CVAE_6062	77.53
CVAE_630	78.44
CVAE_6449	64.81
CVAE_6485	79.36
CVAE_6665	74.87
CVAE_6696	79.19
CVAE_6898	84.27
CVAE_6916	85.35
CVAE_7027	70.75
CVAE_7199	74.85
CVAE_7225	82.11
CVAE_7341	83.58
CVAE_7517	71.48
CVAE_7567	74.87
CVAE_769	77.13
CVAE_7764	71.59
CVAE_7856	73.42
CVAE_7985	68.47
CVAE_8115	69.65
CVAE_8300	81.52
CVAE_8612	66.72
CVAE_916	75.12
CVAE_9231	68.05
CVAE_9289	72.41
CVAE_9310	76.33
CVAE_9577	70.97
CVAE_9625	77.04
CVAE_966	73.92
CVAE_9660	72.60
CVAE_9749	69.52
CVAE_9811	75.46
CVAE_9833	74.02
